muestra,tiempo_us,amplitud_adc
0,0,117
1,200,493
2,400,880
3,600,385
4,800,17
5,1000,582
6,1200,880
7,1400,268
8,1600,56
9,1800,700
10,2000,842
11,2200,164
12,2400,124
13,2600,800
14,2800,747
15,3000,82
16,3200,219
17,3400,845
18,3600,638
19,3800,31
20,4000,331
21,4200,865
22,4400,517
23,4600,7
24,4800,451
25,5000,880
26,5200,394
27,5400,16
28,5600,574
29,5800,881
30,6000,277
31,6200,51
32,6400,690
33,6600,849
34,6800,171
35,7000,116
36,7200,791
37,7400,756
38,7600,88
39,7800,211
40,8000,843
41,8200,647
42,8400,34
43,8600,323
44,8800,864
45,9000,527
46,9200,8
47,9400,444
48,9600,879
49,9800,403
50,10000,14
51,10200,567
52,10400,881
53,10600,284
54,10800,48
55,11000,684
56,11200,853
57,11400,177
58,11600,112
59,11800,787
60,12000,760
61,12200,92
62,12400,205
63,12600,842
64,12800,652
65,13000,36
66,13200,317
67,13400,863
68,13600,533
69,13800,9
70,14000,437
71,14200,879
72,14400,410
73,14600,13
74,14800,559
75,15000,881
76,15200,293
77,15400,45
78,15600,675
79,15800,858
80,16000,184
81,16200,106
82,16400,780
83,16600,769
84,16800,98
85,17000,196
86,17200,839
87,17400,663
88,17600,40
89,17800,307
90,18000,861
91,18200,543
92,18400,11
93,18600,427
94,18800,878
95,19000,421
96,19200,16
97,19400,548
98,19600,881
99,19800,302
100,20000,42
101,20200,666
102,20400,862
103,20600,193
104,20800,100
105,21000,773
106,21200,776
107,21400,103
108,21600,188
109,21800,837
110,22000,672
111,22200,44
112,22400,297
113,22600,860
114,22800,553
115,23000,12
116,23200,419
117,23400,876
118,23600,429
119,23800,10
120,24000,541
121,24200,882
122,24400,310
123,24600,39
124,24800,659
125,25000,865
126,25200,199
127,25400,97
