muestra,tiempo_us,amplitud_adc
0,0,864
1,200,881
2,400,434
3,600,19
4,800,231
5,1000,786
6,1200,871
7,1400,352
8,1600,5
9,1800,308
10,2000,834
11,2200,820
12,2400,272
13,2600,10
14,2800,388
15,3000,854
16,3200,756
17,3400,198
18,3600,28
19,3800,472
20,4000,868
21,4200,684
22,4400,133
23,4600,57
24,4800,555
25,5000,880
26,5200,605
27,5400,81
28,5600,100
29,5800,636
30,6000,888
31,6200,523
32,6400,43
33,6600,158
34,6800,714
35,7000,887
36,7200,438
37,7400,20
38,7600,228
39,7800,783
40,8000,872
41,8200,356
42,8400,6
43,8600,303
44,8800,833
45,9000,807
46,9200,277
47,9400,9
48,9600,382
49,9800,854
50,10000,762
51,10200,203
52,10400,26
53,10600,467
54,10800,868
55,11000,689
56,11200,137
57,11400,55
58,11600,550
59,11800,880
60,12000,610
61,12200,85
62,12400,98
63,12600,631
64,12800,888
65,13000,527
66,13200,45
67,13400,154
68,13600,708
69,13800,887
70,14000,444
71,14200,20
72,14400,222
73,14600,778
74,14800,874
75,15000,361
76,15200,6
77,15400,299
78,15600,830
79,15800,828
80,16000,282
81,16200,9
82,16400,379
83,16600,852
84,16800,766
85,17000,208
86,17200,25
87,17400,461
88,17600,866
89,17800,695
90,18000,142
91,18200,52
92,18400,544
93,18600,879
94,18800,616
95,19000,88
96,19200,94
97,19400,626
98,19600,887
99,19800,533
100,20000,48
101,20200,149
102,20400,704
103,20600,887
104,20800,450
105,21000,22
106,21200,217
107,21400,774
108,21600,876
109,21800,366
110,22000,7
111,22200,293
112,22400,828
113,22600,832
114,22800,287
115,23000,8
116,23200,372
117,23400,851
118,23600,770
119,23800,212
120,24000,23
121,24200,455
122,24400,866
123,24600,699
124,24800,145
125,25000,50
126,25200,539
127,25400,878
