muestra,tiempo_us,amplitud_adc
0,0,310
1,200,679
2,400,884
3,600,360
4,800,10
5,1000,468
6,1200,877
7,1400,523
8,1600,20
9,1800,307
10,2000,853
11,2200,681
12,2400,79
13,2600,165
14,2800,790
15,3000,814
16,3200,190
17,3400,64
18,3600,651
19,3800,883
20,4000,337
21,4200,14
22,4400,492
23,4600,880
24,4800,496
25,5000,14
26,5200,333
27,5400,858
28,5600,656
29,5800,66
30,6000,186
31,6200,808
32,6400,794
33,6600,170
34,6800,76
35,7000,675
36,7200,880
37,7400,312
38,7600,18
39,7800,518
40,8000,883
41,8200,472
42,8400,10
43,8600,356
44,8800,861
45,9000,634
46,9200,55
47,9400,205
48,9600,819
49,9800,778
50,10000,153
51,10200,88
52,10400,695
53,10600,876
54,10800,291
55,11000,23
56,11200,539
57,11400,884
58,11600,451
59,11800,7
60,12000,376
61,12200,864
62,12400,613
63,12600,47
64,12800,223
65,13000,828
66,13200,760
67,13400,135
68,13600,101
69,13800,714
70,14000,870
71,14200,246
72,14400,30
73,14600,562
74,14800,885
75,15000,429
76,15200,4
77,15400,401
78,15600,868
79,15800,590
80,16000,38
81,16200,245
82,16400,837
83,16600,740
84,16800,120
85,17000,116
86,17200,736
87,17400,861
88,17600,250
89,17800,35
90,18000,582
91,18200,886
92,18400,406
93,18600,3
94,18800,421
95,19000,871
96,19200,568
97,19400,31
98,19600,265
99,19800,843
100,20000,722
101,20200,105
102,20400,132
103,20600,754
104,20800,847
105,21000,228
106,21200,44
107,21400,607
108,21600,885
109,21800,382
110,22000,7
111,22200,446
112,22400,874
113,22600,544
114,22800,24
115,23000,287
116,23200,849
117,23400,699
118,23600,91
119,23800,150
120,24000,774
121,24200,829
122,24400,208
123,24600,54
124,24800,630
125,25000,884
126,25200,359
127,25400,10
