muestra,tiempo_us,amplitud_adc
0,0,80
1,200,462
2,400,880
3,600,335
4,800,50
5,1000,738
6,1200,763
7,1400,64
8,1600,306
9,1800,869
10,2000,428
11,2200,21
12,2400,652
13,2600,836
14,2800,118
15,3000,219
16,3200,856
17,3400,525
18,3600,5
19,3800,560
20,4000,875
21,4200,189
22,4400,142
23,4600,837
24,4800,619
25,5000,14
26,5200,464
27,5400,881
28,5600,273
29,5800,81
30,6000,790
31,6200,708
32,6400,38
33,6600,400
34,6800,877
35,7000,364
36,7200,38
37,7400,711
38,7600,788
39,7800,80
40,8000,275
41,8200,865
42,8400,459
43,8600,14
44,8800,623
45,9000,857
46,9200,140
47,9400,193
48,9600,851
49,9800,554
50,10000,5
51,10200,530
52,10400,879
53,10600,214
54,10800,121
55,11000,827
56,11200,649
57,11400,20
58,11600,435
59,11800,881
60,12000,302
61,12200,65
62,12400,766
63,12600,734
64,12800,49
65,13000,338
66,13200,873
67,13400,394
68,13600,30
69,13800,685
70,14000,810
71,14200,97
72,14400,248
73,14600,860
74,14800,490
75,15000,9
76,15200,593
77,15400,868
78,15600,163
79,15800,166
80,16000,845
81,16200,587
82,16400,9
83,16600,498
84,16800,881
85,17000,242
86,17200,100
87,17400,812
88,17600,679
89,17800,28
90,18000,401
91,18200,879
92,18400,333
93,18600,52
94,18800,740
95,19000,763
96,19200,64
97,19400,307
98,19600,869
99,19800,427
100,20000,21
101,20200,652
102,20400,837
103,20600,119
104,20800,218
105,21000,855
106,21200,524
107,21400,5
108,21600,559
109,21800,875
110,22000,189
111,22200,142
112,22400,837
113,22600,619
114,22800,14
115,23000,463
116,23200,881
117,23400,275
118,23600,80
119,23800,788
120,24000,710
121,24200,39
122,24400,365
123,24600,876
124,24800,368
125,25000,38
126,25200,709
127,25400,790
