muestra,tiempo_us,amplitud_adc
0,0,849
1,200,869
2,400,229
3,600,80
4,800,748
5,1000,794
6,1200,114
7,1400,181
8,1600,836
9,1800,667
10,2000,39
11,2200,315
12,2400,863
13,2600,521
14,2800,6
15,3000,462
16,3200,881
17,3400,372
18,3600,22
19,3800,610
20,4000,875
21,4200,231
22,4400,80
23,4600,748
24,4800,795
25,5000,115
26,5200,181
27,5400,837
28,5600,665
29,5800,39
30,6000,317
31,6200,864
32,6400,518
33,6600,6
34,6800,467
35,7000,881
36,7200,367
37,7400,24
38,7600,616
39,7800,874
40,8000,225
41,8200,83
42,8400,753
43,8600,790
44,8800,110
45,9000,187
46,9200,838
47,9400,659
48,9600,37
49,9800,323
50,10000,865
51,10200,511
52,10400,5
53,10600,472
54,10800,881
55,11000,360
56,11200,25
57,11400,623
58,11600,873
59,11800,218
60,12000,87
61,12200,760
62,12400,784
63,12600,105
64,12800,194
65,13000,841
66,13200,651
67,13400,34
68,13600,332
69,13800,867
70,14000,503
71,14200,5
72,14400,484
73,14600,882
74,14800,350
75,15000,29
76,15200,633
77,15400,871
78,15600,209
79,15800,93
80,16000,768
81,16200,774
82,16400,97
83,16600,203
84,16800,843
85,17000,641
86,17200,30
87,17400,343
88,17600,868
89,17800,490
90,18000,3
91,18200,495
92,18400,881
93,18600,337
94,18800,32
95,19000,645
96,19200,867
97,19400,199
98,19600,101
99,19800,779
100,20000,764
101,20200,90
102,20400,214
103,20600,846
104,20800,627
105,21000,26
106,21200,357
107,21400,870
108,21600,475
109,21800,5
110,22000,510
111,22200,882
112,22400,322
113,22600,37
114,22800,660
115,23000,862
116,23200,185
117,23400,110
118,23600,791
119,23800,751
120,24000,80
121,24200,229
122,24400,849
123,24600,611
124,24800,22
125,25000,374
126,25200,872
127,25400,458
