muestra,tiempo_us,amplitud_adc
0,0,898
1,200,895
2,400,732
3,600,441
4,800,174
5,1000,22
6,1200,32
7,1400,199
8,1600,472
9,1800,745
10,2000,872
11,2200,896
12,2400,715
13,2600,433
14,2800,167
15,3000,20
16,3200,35
17,3400,206
18,3600,481
19,3800,753
20,4000,875
21,4200,894
22,4400,707
23,4600,424
24,4800,161
25,5000,19
26,5200,38
27,5400,214
28,5600,490
29,5800,760
30,6000,875
31,6200,892
32,6400,699
33,6600,417
34,6800,153
35,7000,18
36,7200,40
37,7400,221
38,7600,497
39,7800,767
40,8000,877
41,8200,890
42,8400,691
43,8600,407
44,8800,147
45,9000,16
46,9200,44
47,9400,229
48,9600,507
49,9800,774
50,10000,880
51,10200,888
52,10400,683
53,10600,400
54,10800,140
55,11000,14
56,11200,47
57,11400,235
58,11600,515
59,11800,780
60,12000,881
61,12200,885
62,12400,676
63,12600,390
64,12800,134
65,13000,12
66,13200,50
67,13400,244
68,13600,524
69,13800,787
70,14000,884
71,14200,882
72,14400,668
73,14600,382
74,14800,129
75,15000,12
76,15200,53
77,15400,252
78,15600,533
79,15800,794
80,16000,885
81,16200,878
82,16400,659
83,16600,373
84,16800,123
85,17000,10
86,17200,56
87,17400,259
88,17600,540
89,17800,800
90,18000,886
91,18200,874
92,18400,652
93,18600,365
94,18800,117
95,19000,9
96,19200,60
97,19400,267
98,19600,549
99,19800,805
100,20000,889
101,20200,870
102,20400,644
103,20600,358
104,20800,111
105,21000,8
106,21200,64
107,21400,275
108,21600,557
109,21800,811
110,22000,889
111,22200,866
112,22400,635
113,22600,348
114,22800,106
115,23000,7
116,23200,69
117,23400,283
118,23600,566
119,23800,817
120,24000,892
121,24200,860
122,24400,627
123,24600,340
124,24800,101
125,25000,6
126,25200,72
127,25400,292
