muestra,tiempo_us,amplitud_adc
0,0,7
1,200,47
2,400,340
3,600,757
4,800,892
5,1000,691
6,1200,266
7,1400,14
8,1600,124
9,1800,521
10,2000,850
11,2200,876
12,2400,516
13,2600,120
14,2800,15
15,3000,271
16,3200,695
17,3400,882
18,3600,754
19,3800,334
20,4000,31
21,4200,80
22,4400,448
23,4600,829
24,4800,891
25,5000,587
26,5200,172
27,5400,4
28,5600,207
29,5800,627
30,6000,870
31,6200,810
32,6400,405
33,6600,58
34,6800,47
35,7000,376
36,7200,786
37,7400,893
38,7600,657
39,7800,232
40,8000,8
41,8200,150
42,8400,556
43,8600,856
44,8800,859
45,9000,480
46,9200,96
47,9400,23
48,9600,306
49,9800,728
50,10000,888
51,10200,722
52,10400,298
53,10600,22
54,10800,101
55,11000,484
56,11200,841
57,11400,886
58,11600,551
59,11800,144
60,12000,9
61,12200,239
62,12400,662
63,12600,876
64,12800,783
65,13000,369
66,13200,44
67,13400,62
68,13600,411
69,13800,811
70,14000,893
71,14200,624
72,14400,202
73,14600,4
74,14800,176
75,15000,590
76,15200,863
77,15400,837
78,15600,443
79,15800,76
80,16000,33
81,16200,337
82,16400,755
83,16600,892
84,16800,693
85,17000,268
86,17200,15
87,17400,122
88,17600,518
89,17800,848
90,18000,878
91,18200,520
92,18400,122
93,18600,14
94,18800,267
95,19000,690
96,19200,882
97,19400,758
98,19600,322
99,19800,33
100,20000,77
101,20200,442
102,20400,827
103,20600,891
104,20800,592
105,21000,176
106,21200,4
107,21400,203
108,21600,623
109,21800,869
110,22000,814
111,22200,410
112,22400,60
113,22600,45
114,22800,371
115,23000,781
116,23200,893
117,23400,661
118,23600,236
119,23800,9
120,24000,146
121,24200,551
122,24400,856
123,24600,862
124,24800,483
125,25000,99
126,25200,21
127,25400,300
