muestra,tiempo_us,amplitud_adc
0,0,10
1,200,47
2,400,377
3,600,814
4,800,890
5,1000,543
6,1200,111
7,1400,26
8,1600,354
9,1800,799
10,2000,892
11,2200,567
12,2400,128
13,2600,20
14,2800,332
15,3000,781
16,3200,892
17,3400,590
18,3600,145
19,3800,16
20,4000,309
21,4200,762
22,4400,892
23,4600,614
24,4800,163
25,5000,12
26,5200,286
27,5400,742
28,5600,892
29,5800,635
30,6000,181
31,6200,8
32,6400,267
33,6600,723
34,6800,891
35,7000,657
36,7200,200
37,7400,6
38,7600,245
39,7800,702
40,8000,889
41,8200,679
42,8400,220
43,8600,3
44,8800,224
45,9000,682
46,9200,886
47,9400,700
48,9600,241
49,9800,5
50,10000,203
51,10200,659
52,10400,882
53,10600,721
54,10800,262
55,11000,7
56,11200,184
57,11400,638
58,11600,878
59,11800,741
60,12000,283
61,12200,10
62,12400,167
63,12600,615
64,12800,875
65,13000,759
66,13200,303
67,13400,15
68,13600,150
69,13800,595
70,14000,871
71,14200,777
72,14400,325
73,14600,19
74,14800,135
75,15000,573
76,15200,867
77,15400,795
78,15600,347
79,15800,24
80,16000,119
81,16200,551
82,16400,863
83,16600,813
84,16800,371
85,17000,31
86,17200,104
87,17400,527
88,17600,859
89,17800,829
90,18000,394
91,18200,38
92,18400,101
93,18600,503
94,18800,854
95,19000,844
96,19200,417
97,19400,47
98,19600,77
99,19800,481
100,20000,850
101,20200,859
102,20400,441
103,20600,57
104,20800,64
105,21000,457
106,21200,845
107,21400,870
108,21600,463
109,21800,67
110,22000,54
111,22200,434
112,22400,839
113,22600,879
114,22800,486
115,23000,79
116,23200,44
117,23400,411
118,23600,831
119,23800,884
120,24000,510
121,24200,92
122,24400,36
123,24600,387
124,24800,819
125,25000,888
126,25200,534
127,25400,106
