muestra,tiempo_us,amplitud_adc
0,0,132
1,200,8
2,400,228
3,600,764
4,800,883
5,1000,425
6,1200,22
7,1400,199
8,1600,738
9,1800,887
10,2000,459
11,2200,31
12,2400,172
13,2600,708
14,2800,888
15,3000,494
16,3200,42
17,3400,146
18,3600,677
19,3800,889
20,4000,527
21,4200,55
22,4400,122
23,4600,645
24,4800,887
25,5000,537
26,5200,69
27,5400,100
28,5600,614
29,5800,885
30,6000,593
31,6200,87
32,6400,81
33,6600,582
34,6800,880
35,7000,625
36,7200,107
37,7400,64
38,7600,549
39,7800,876
40,8000,656
41,8200,129
42,8400,50
43,8600,517
44,8800,871
45,9000,687
46,9200,152
47,9400,38
48,9600,483
49,9800,865
50,10000,716
51,10200,177
52,10400,28
53,10600,450
54,10800,860
55,11000,744
56,11200,204
57,11400,20
58,11600,419
59,11800,855
60,12000,771
61,12200,233
62,12400,13
63,12600,386
64,12800,848
65,13000,797
66,13200,263
67,13400,8
68,13600,354
69,13800,841
70,14000,819
71,14200,292
72,14400,4
73,14600,322
74,14800,831
75,15000,841
76,15200,323
77,15400,4
78,15600,292
79,15800,816
80,16000,861
81,16200,353
82,16400,9
83,16600,263
84,16800,794
85,17000,875
86,17200,385
87,17400,13
88,17600,233
89,17800,770
90,18000,882
91,18200,418
92,18400,20
93,18600,204
94,18800,742
95,19000,886
96,19200,451
97,19400,28
98,19600,178
99,19800,715
100,20000,888
101,20200,484
102,20400,38
103,20600,152
104,20800,685
105,21000,889
106,21200,519
107,21400,51
108,21600,128
109,21800,655
110,22000,888
111,22200,550
112,22400,65
113,22600,107
114,22800,624
115,23000,886
116,23200,581
117,23400,81
118,23600,89
119,23800,594
120,24000,882
121,24200,613
122,24400,98
123,24600,72
124,24800,562
125,25000,878
126,25200,644
127,25400,120
