muestra,tiempo_us,amplitud_adc
0,0,9
1,200,64
2,400,303
3,600,656
4,800,861
5,1000,890
6,1200,646
7,1400,303
8,1600,52
9,1800,22
10,2000,220
11,2200,554
12,2400,835
13,2600,899
14,2800,740
15,3000,405
16,3200,107
17,3400,6
18,3600,137
19,3800,449
20,4000,774
21,4200,887
22,4400,822
23,4600,511
24,4800,183
25,5000,12
26,5200,73
27,5400,346
28,5600,685
29,5800,867
30,6000,881
31,6200,615
32,6400,273
33,6600,40
34,6800,30
35,7000,248
36,7200,586
37,7400,845
38,7600,899
39,7800,714
40,8000,375
41,8200,88
42,8400,10
43,8600,160
44,8800,480
45,9000,797
46,9200,892
47,9400,800
48,9600,481
49,9800,159
50,10000,8
51,10200,90
52,10400,376
53,10600,711
54,10800,873
55,11000,869
56,11200,586
57,11400,246
58,11600,30
59,11800,40
60,12000,275
61,12200,614
62,12400,851
63,12600,897
64,12800,686
65,13000,346
66,13200,71
67,13400,14
68,13600,184
69,13800,511
70,14000,817
71,14200,897
72,14400,777
73,14600,449
74,14800,136
75,15000,4
76,15200,107
77,15400,405
78,15600,738
79,15800,879
80,16000,851
81,16200,557
82,16400,219
83,16600,22
84,16800,52
85,17000,304
86,17200,643
87,17400,858
88,17600,893
89,17800,659
90,18000,316
91,18200,57
92,18400,20
93,18600,208
94,18800,541
95,19000,831
96,19200,898
97,19400,752
98,19600,421
99,19800,115
100,20000,3
101,20200,129
102,20400,435
103,20600,763
104,20800,885
105,21000,831
106,21200,526
107,21400,194
108,21600,15
109,21800,65
110,22000,332
111,22200,672
112,22400,864
113,22600,885
114,22800,629
115,23000,287
116,23200,45
117,23400,27
118,23600,235
119,23800,571
120,24000,841
121,24200,900
122,24400,725
123,24600,389
124,24800,96
125,25000,6
126,25200,149
127,25400,465
